Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Stability Ball Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Stability Ball,None,0,Supine,Single Arm,Neutral,Other,Alternating,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Postural
Bodyweight Glute Bridge,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,Biceps Femoris,Bodyweight,None,0,Bridge,No Arms,No Grip,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Bodyweight Bird Dog,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,None,0,Quadruped,Single Arm,Flat Palm,No Load,Alternating,Anti-Rotational,,Sagittal Plane,Core,Other,Compound,Postural
Stability Ball Russian Twist ,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,Stability Ball,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Stability Ball Feet Elevated Crunch ,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,None,0,Supine,No Arms,Head Supported,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Isolation,Unsorted*
Ring Hanging Knee Raise ,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Iliopsoas,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Calisthenics
Parallette Mountain Climber,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Parallette Bars,None,0,Prone,Double Arm,Neutral,No Load,Alternating,Anti-Extension,Spinal Flexion,Sagittal Plane,Core,Other,Compound,Calisthenics
Parallette Push Up,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Parallette Bars,None,0,Prone,Double Arm,Neutral,No Load,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Calisthenics
Bodyweight Knee Hover Bird Dog,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Gluteus Maximus,Bodyweight,None,0,Knee Hover Quadruped,Single Arm,Flat Palm,No Load,Alternating,Anti-Rotational,,Sagittal Plane,Core,Other,Compound,Postural
Stability Ball V Up Pass,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Iliopsoas,Stability Ball,None,0,Supine,Double Arm,Neutral,Other,Continuous,Hip Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Dead Bug,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,Obliques,Bodyweight,None,0,Supine,Single Arm,No Grip,No Load,Alternating,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Postural
Bodyweight Alternating Heel Taps,Video Demonstration,Video Explanation,Beginner,Abdominals,Obliques,Rectus Abdominis,Bodyweight,None,0,Supine,Double Arm,No Grip,No Load,Continuous,Lateral Flexion,,Frontal Plane,Core,Other,Compound,Unsorted*
Bodyweight Flutter Kicks,Video Demonstration,Video Explanation,Beginner,Hip Flexors,Iliopsoas,Rectus Abdominis,Bodyweight,None,0,Supine,No Arms,No Grip,No Load,Alternating,Hip Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Bodyweight Kneeling Forearm Plank,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Prone,Double Arm,Forearm,No Load,Continuous,Anti-Extension,,Frontal Plane,Core,Other,Compound,Calisthenics
Bodyweight Seated Ab Circles,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Seated Floor,No Arms,Flat Palm,No Load,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Gymnastic Rings,None,0,Hanging,Double Arm,Pronated,No Load,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Calisthenics
Stability Ball Stir the Pot,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Stability Ball,None,0,Prone,Double Arm,Forearm,No Load,Continuous,Anti-Extension,Spinal Rotational,Transverse Plane,Core,Other,Compound,Unsorted*
